iter	Passed	Remaining
0	0	70
1	1	69
2	2	70
3	2	69
4	3	68
5	4	67
6	4	65
7	5	63
8	6	63
9	6	61
10	7	59
11	7	57
12	8	55
13	8	54
14	9	53
15	9	52
16	10	50
17	10	49
18	11	48
19	11	47
20	12	46
21	12	46
22	13	44
23	13	44
24	14	43
25	14	42
26	15	41
27	16	41
28	16	41
29	17	40
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	21	34
39	22	33
40	22	32
41	23	32
42	23	31
43	24	30
44	24	30
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	17
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
